Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Switzerland,206.23,138.05,68.21,67.95,143.88,7.05,24.55,26.80,-
United States,195.55,132.91,49.85,68.58,77.39,2.43,37.13,35.13,-
Germany,192.69,112.28,72.86,75.26,87.14,5.60,36.07,30.20,-
Sweden,180.92,106.11,61.72,75.22,103.68,9.41,34.07,17.51,-
Finland,178.88,97.90,70.84,68.69,103.28,7.83,37.00,16.68,-
Denmark,178.55,100.66,70.73,85.62,114.87,6.37,25.00,34.76,-
Canada,178.29,105.53,63.71,71.94,87.90,5.57,39.17,27.70,-
Australia,175.98,104.20,58.77,73.55,108.51,7.44,36.25,19.38,-
United Arab Emirates,173.27,110.64,79.21,60.65,68.25,5.26,28.20,53.84,-
Austria,171.82,91.53,74.17,79.67,89.50,9.17,24.50,31.68,-
New Zealand,168.56,87.58,57.15,77.83,104.48,5.30,26.57,21.02,-
Japan,168.47,99.64,81.90,85.03,94.13,8.34,47.64,40.78,-
Norway,168.41,94.40,66.27,75.71,144.45,7.42,24.50,22.57,-
Netherlands,160.98,97.54,62.93,66.17,98.82,6.08,35.06,32.40,-
United Kingdom,150.97,94.34,57.38,73.52,100.11,7.74,37.68,33.81,-
Estonia,145.40,48.67,70.93,76.34,67.33,10.19,24.71,13.43,-
Ireland,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,-
Kuwait,141.37,92.46,63.56,66.20,74.08,6.78,17.00,59.99,-
Saudi Arabia,139.88,100.03,70.62,50.42,68.14,3.25,23.33,71.54,-
France,136.31,92.29,52.72,82.28,100.21,10.32,28.10,46.92,-
Belgium,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,-
Slovenia,125.56,60.36,66.79,61.31,75.37,11.09,20.67,32.97,-
Portugal,124.71,54.65,64.94,64.80,69.30,8.41,28.91,30.90,-
Puerto Rico,123.64,85.28,40.70,59.93,76.50,5.10,28.40,47.41,-
Spain,123.64,72.48,67.58,75.17,77.18,10.45,32.03,49.76,-
Czech Republic,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,-
Lithuania,121.91,43.24,65.29,69.26,59.96,12.91,22.00,21.13,-
South Korea,117.90,80.63,83.65,79.17,87.56,11.35,31.20,74.24,-
Taiwan,114.06,82.31,78.53,78.33,60.20,17.33,27.60,70.81,-
South Africa,111.61,95.97,21.47,59.44,48.55,3.45,41.31,57.93,-
Slovakia,108.74,52.41,67.28,63.52,61.50,9.51,37.50,40.81,-
Croatia,108.70,48.32,71.10,55.94,69.04,13.37,33.35,28.69,-
Poland,95.19,57.60,62.47,54.83,53.68,11.37,35.32,50.54,-
Uruguay,91.94,39.64,53.36,59.58,77.36,11.60,45.00,21.33,-
Israel,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,-
Italy,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,-
Malaysia,89.05,70.46,33.59,69.35,48.66,8.04,38.70,61.12,-
Singapore,87.99,64.11,78.65,61.82,100.01,22.59,47.82,41.93,-
Mexico,83.47,60.46,47.54,70.64,46.96,6.47,38.96,71.17,-
Hungary,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,-
Argentina,81.12,57.08,42.52,76.75,66.85,8.95,45.00,57.45,-
India,78.01,62.33,56.30,64.62,26.70,10.16,47.72,74.34,-
Greece,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,-
Bosnia And Herzegovina,74.60,44.52,55.02,54.42,49.76,11.97,22.56,58.22,-
Belarus,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,-
Hong Kong,73.24,71.39,77.32,71.83,76.36,27.06,47.73,63.79,-
Chile,69.32,58.27,52.91,58.68,60.16,9.45,42.10,70.98,-
Serbia,69.31,37.39,60.72,54.35,51.57,16.86,24.38,49.56,-
Turkey,67.82,55.79,60.05,57.54,49.93,6.86,51.93,77.11,-
Romania,63.27,36.51,71.27,47.27,48.20,13.24,33.29,62.55,-
Bulgaria,62.60,37.39,59.98,58.04,49.96,9.87,34.69,66.72,-
Thailand,56.64,36.96,62.44,85.44,45.95,19.07,32.82,71.13,-
Ecuador,42.25,27.03,40.03,59.39,45.23,12.70,42.80,53.66,-
Kazakhstan,40.64,37.29,50.59,60.19,63.15,11.35,40.00,74.36,-
Jordan,39.54,38.30,52.42,74.10,61.46,7.95,60.20,81.84,-
Brazil,38.76,43.29,33.00,53.72,60.60,14.96,43.02,57.58,-
Colombia,36.53,33.45,41.46,68.52,50.37,14.23,46.15,65.67,-
China,30.30,43.73,69.87,65.12,54.12,26.13,31.17,84.72,-
Philippines,28.09,29.97,58.10,69.84,40.28,18.78,49.78,74.88,-
Pakistan,22.32,31.53,36.25,50.40,29.69,13.92,25.12,80.25,-
Ukraine,22.22,31.00,50.63,47.10,45.64,15.95,41.89,73.32,-
Indonesia,21.85,26.44,53.33,60.23,39.00,18.79,41.07,73.78,-
Lebanon,18.39,41.86,49.90,55.36,70.15,18.30,32.43,86.72,-
Russia,16.53,37.30,47.33,43.45,61.80,14.67,49.69,76.45,-
Egypt,5.41,25.57,47.57,61.30,38.26,11.09,60.83,91.23,-
Iran,-11.08,30.33,44.99,48.60,49.51,20.63,54.45,86.07,-
Mongolia,-26.75,25.59,33.77,27.23,57.36,15.70,36.86,94.98,-
Venezuela,-39.32,17.87,18.50,41.05,114.36,20.19,38.75,73.96,-
